"","age_under_5_2017","age_over_65_2017","median_age_2017","white_2010","black_2017","no_move_in_one_plus_year_2010","speak_english_only_2017","hs_grad_2017","bachelors_2017","computer_2017","homeownership_2010","per_capita_income_2017","poverty_2016","employed_2015","uninsured_2017","fed_spending_2009","density_2010","log_incident_rate"
"1",6.3,17.3,38.2,86.2,1.51,79.5,92.2,90,20.3,83.7,72.2,24173.06,14,16263,10.5,296474,32.3,-9.09462083084981
"2",5.2,16.3,35.6,97,0.66,82.5,95.6,91.7,21.5,82.7,74.7,24792.28,16.7,26949,7.3,365475,44.7,-10.046745791197
"3",4.2,18.2,41.9,92.3,2.82,86.1,97.5,79,11.1,70.4,85.1,19502.39,20.9,5720,11.9,162860,23.2,-9.49871720302731
"4",8.3,12.5,31.4,10.7,0.24,90.3,95,91.3,15.9,71,70.3,16146.04,27.2,1450,24.9,71642,11.8,-8.19715320285633
"5",8.3,11.5,33.7,54.6,11.57,80.4,73.6,78.8,16.7,82.8,63.2,19463.37,19.4,71583,19.7,1513039,1039,-7.98104365464122
"6",5.9,18.3,41.2,86.3,4.08,85.4,96.1,87.2,18.6,84.5,70.2,25392.12,15.7,60875,7.3,1200168,348,-8.0027422194794
"7",5.4,21.3,44.3,94.2,0.44,92.3,95.1,90.8,17.5,74.9,79,26840.68,12.1,3281,6.9,95287,7.9,-8.79254961417738
"8",5.9,24.3,47.1,97.6,0.05,91.7,98.6,92.8,17.4,76.5,76.5,24784.68,12.9,1278,13.4,34789,4.1,-8.6522484224091
"9",5.5,9.9,27.3,61.9,13.67,72.9,84.4,86.7,41.3,87.7,45.9,21966.8,27.9,53664,14.7,840019,979.1,-7.18610806439524
"10",6.4,17.8,39.6,88.8,0.69,84.8,88.2,87.6,16.9,83.5,74.1,26358.05,13.9,13976,13.4,194058,30.9,-8.59303323409794
"11",6.2,15.8,41,98.9,0.06,85.7,98.4,74.3,10.5,72.5,76,16853.28,31.9,3949,9.8,182161,39.1,-8.58386069466225
"12",4.5,18.7,41,96.6,0.52,85,96.9,94.7,28.8,83.9,75.5,32257.59,9.4,11786,3.1,153868,30.5,-10.621754083889
"13",12.2,7.8,26.4,66.2,8.65,74.1,85.1,92.8,21.4,90.4,49.9,20830.86,11.6,11361,8.5,2765299,89.3,-8.56918105934654
"14",6.2,14.7,38.3,84.5,0.55,85.4,93.1,88.5,24.1,88.8,81.7,27813.24,10.8,18058,12.4,206598,60.5,-9.10592059016008
"15",7.5,15.6,36.8,89,3.9,82.8,89.8,77.7,12.6,68.4,72.3,18950.38,20.4,5172,17.7,120843,33.3,-9.01663425631559
"16",5.2,17.8,41.7,96.6,0.73,92.4,98.3,84.5,12.2,80.2,76.2,24460.8,15.5,5509,8.7,116422,52,-9.53768176330277
"17",4.1,28.3,51.6,85.9,1.55,83.4,88.4,85.2,11.5,85.7,71.8,22882.28,15.9,14777,12.7,337725,2.4,-8.88620752432622
"18",4.8,17.8,43.5,96.1,0.43,87.4,96.5,93.7,40.5,86.9,72.6,32790.79,10.8,32849,3.9,1035304,86.6,-8.17447665116192
"19",7.6,16.5,41.8,98.7,2.05,90,99.1,70.1,15.7,69.3,79.2,16019.54,45.2,1069,7.1,102227,24.1,-8.18211198686116
"20",6,17.1,41.3,94.5,0.35,87.3,92.8,91,23.4,84.4,72.8,28252.67,10.1,33880,7.8,434369,74.6,-9.26657104077895
"21",6,15.4,39.9,93.2,1.79,84.4,96.6,90.3,24.6,88.3,74.4,29135.52,11.7,83077,7.4,1051475,243.9,-9.52513651316951
"22",4.3,26.2,49.7,82,6.77,90.1,94.8,90.1,30.1,85.7,78.6,33137.5,11.4,22737,7.4,521533,109.9,-9.4035824741168
"23",4.8,20.2,45,92.9,0.29,85.5,97.5,94,32.9,86.3,76.4,31914.73,11.8,16335,8.7,225309,69.9,-11.7902617033678
"24",4.1,32.1,52.6,51.3,25.37,82,96.4,70.3,8.3,62.4,70.4,17456.16,27.1,761,18.5,23644,16.6,-9.1336752870407
"25",3.2,27.6,53.7,97.3,0.39,94.5,94.4,87.8,20,83,81.8,15505.81,10.2,2283,11.6,43220,2.8,-9.82325315982552
"26",4.8,17.6,39.7,94.9,1.16,81.7,93.5,89.6,22.7,79.1,71.8,26181.01,20,39117,9.8,783585,107.5,-9.19468126272603
"27",5.1,16.9,40.8,93.9,1.81,89.6,96.6,83.3,12.2,85.1,77.5,21186.96,16.9,5560,7.7,125075,54.3,-10.9416241666279
"28",5.6,24.9,48.4,88.1,0,86.9,98.2,90.8,18.6,79.4,69.2,32217.22,14,2712,10.8,99820,5.6,-9.30751245372844
"29",5.9,13.8,30,85.6,0.84,77.4,81.6,85.1,27.8,89.1,62,22210.28,19.5,19355,18.7,220042,35,-10.2230073818367
"30",7,21.2,46.4,87,0,90.9,98.3,89.9,18.1,79.3,75.8,22789.87,15.5,1874,17.3,77499,0.8,-9.71359742624222
"31",6,16.9,39.2,90.2,3.12,83,95.9,83.6,15.5,78.3,71.6,23984.17,18,7741,11.6,151257,27.6,-9.26554529168675
"32",6.8,12.5,30.3,74.8,1.25,78.9,70.7,83.1,26.2,81.5,63.2,20083.73,24.8,7254,13.3,136099,21.4,-9.9915747395235
"33",6.1,17.1,41.3,90.1,3.12,84.9,98.1,85.6,15.7,77.1,72.2,23337.86,18.3,18538,9.6,506248,86.6,-8.43105779428057
"34",4.8,18.8,41.5,90.8,2.47,86.2,96.7,85.6,20.6,80.6,77.3,26302.89,15.5,18546,7.8,351096,74,-9.37954653486131
"35",5,18.8,42.4,96.9,1.26,84.4,98.8,82,11.1,79.3,74,22215.57,17.8,8399,12.4,207263,112.9,-10.0572810257155
"36",6.4,12.3,36.4,76.5,8.26,85.4,90.6,92.3,34.4,92.1,80.9,29556.87,7.2,65209,8.2,1376344,427.6,-9.30448692477183
"37",6.5,16.4,37.6,20.8,1.17,84.5,72,91.4,34,90,57.6,33069.93,8.5,452091,4,15515938,1586.7,-10.4054149542883
"38",4.9,19.3,43.7,98.6,0.06,93.4,98.8,92.7,13.9,82,76.3,26586.25,11.5,2407,6.2,46368,21.3,-9.22695163778138
"39",5.9,9.4,36.5,83.2,0.43,87.4,72.1,89.9,45.1,95.4,65.3,36503.64,7.9,31707,16.9,116663,31,-9.4495564188964
"40",2.8,17.8,47.3,93.7,1.33,93.2,96.6,87.5,15.9,78,87,27525.21,11.7,2433,13.6,45058,8.9,-9.78148939572528
"41",3.9,17.5,43.5,45.6,24.86,87.1,93.4,73,9.9,68.5,66.9,18881.86,28.5,4400,17,113395,38.1,-9.32189963563674
"42",4.9,14.4,35.1,54.9,20.74,79.8,96.3,82,19.4,78.3,60.6,20622.05,26,16391,12.4,310853,177.3,-7.90413647858333
"43",7.3,15.3,36.1,65.1,12.76,90.7,88.5,80.6,15.9,72.3,62.6,21403.94,23.4,10829,20.9,218675,74.8,-8.95624964436076
"44",5.4,17.4,41.9,93.2,0.55,89.5,91.9,89,19.7,86,75.6,29507.35,10.2,24311,6,282123,70.5,-10.2887305167919
"45",5.5,21.9,44.6,97.7,0.14,86.2,98.1,89.4,19.6,81.8,71.1,26994.88,12.8,7189,4.5,137170,24.7,-10.8793293890368
"46",4.5,19.4,45.9,94.2,0.72,87.1,93.3,92.8,36.8,86.6,70,33133.48,10,37702,2.6,543819,102.1,-9.18702939070044
"47",5.2,19.7,43.5,94.5,1.19,81.7,96,90.3,16.1,76.4,68,23825.1,13.7,2877,4.3,63544,6.5,-9.99966099598478
"48",5.8,17.9,39.5,34.3,30.97,88.5,96.6,84.1,20.1,72,68.2,18431.68,22.7,32931,13.9,841057,83.6,-7.1097949429353
"49",6.1,16.7,41.9,98.4,0.25,87.4,98,79.7,15.1,77.5,71.9,19500.39,25.9,6996,7.1,305175,89.2,-9.48208903632531
"50",6.5,11.9,36.5,78.6,7.17,85.2,93.1,89.7,30.4,87.5,72.9,36823.27,9.1,52108,5.8,3142608,294.4,-9.78834153688423
"51",7.8,12.8,34.4,64.6,7.5,78.5,82.9,86.8,31.2,87.6,61.7,28909.02,16.3,360036,15.3,9505319,1013.8,-8.16851434410246
"52",5.6,16.7,41.2,81.1,4.51,89.1,86.5,94.1,48.2,91.1,74.2,45567.06,6.2,422542,4.5,7097470,1655.9,-10.2160289919667
"53",6.9,13.2,32.9,92.7,0.62,79.3,92.4,93.8,33.6,88.9,65.5,29133.33,11.2,26472,8.3,267372,47.6,-9.41388307563533
"54",6.8,13.5,38,95,0,87.8,94.9,92.9,19.7,84.3,66.4,33683.67,7.5,6647,14,86361,4.7,-9.63501969900815
"55",4.1,20.2,45.2,86.7,3.36,89.9,96.4,87,26.9,83.6,81,29738.49,11.2,6978,14.6,85081,41.5,-10.1744112342979
"56",7.4,18.8,42.2,85.1,0.55,84.1,98.2,93.3,21.2,81.7,70,24857.68,13.3,5142,8.4,108068,17.5,-9.46678974199686
"57",5.5,16.2,39.6,93.6,1.2,85.8,96,86.6,20.3,86.4,75.7,25159.47,12.9,29738,13,274824,394.3,-9.65096819694111
"58",7.9,12.6,34.7,22.2,0.05,82.7,84.7,84.7,12.4,65.1,69.1,19447.74,23,1971,32.3,157083,0,-7.42025642135945
"59",6.3,11.5,32.3,84.3,5.71,77.5,94.7,91.2,29.7,88.1,66.4,25076.32,16,57123,10.8,583777,174.8,-9.14541818750566
"60",6.2,21.4,45,96,0.47,88.2,89.6,86.9,17.5,76.6,79.7,28416,13.2,7325,8.6,114077,22.4,-9.8282070984222
"61",6.5,16,41,94.9,0.64,91.4,95.5,92,17.6,84.5,78,28674.02,7.6,3415,8.9,36107,14.3,-10.0863922725907
"62",5.9,18.5,40.8,73.8,1.86,80.4,96.2,82.8,14.6,77.6,76.5,23016.81,19.9,4546,18.6,130756,14.5,-8.72878584276076
"63",7.4,19.3,42,96.2,0.33,83.3,96.9,93.2,31.7,86.3,71,32178.1,8.6,6262,6.4,104616,19.9,-10.1234861637063
"64",5.8,19,43.1,86.4,4.89,88.2,97.8,84.6,14.8,80.3,74.7,23288.07,16.7,13804,10.4,300401,48.3,-9.87229783774609
"65",5.1,18.9,43.2,93.5,1.28,86.4,96.5,88.7,23.4,85.1,76.1,27950.6,11.4,56355,9.6,857013,220.2,-9.15481200144252
"66",6.4,20,42.2,96.5,0.23,87.2,96.7,93.4,21.7,86.6,70.6,28985.97,9.1,8533,4.4,134701,29.4,-9.01027227269426
"67",4.4,19.4,44.1,95.9,0.81,86.2,96,88.7,21.6,83.1,77.4,27119.09,12.7,13901,5,228502,52.7,-9.79916617932241
"68",6.2,19.7,42.1,96.9,0.07,88.8,96.2,93.4,26,87.1,74.6,30346.52,9.2,4873,5.3,80122,17,-10.5087047525011
"69",5.5,17.4,39.7,48,24.02,83,94.3,73.1,12,73.4,68,17891.73,29.9,7844,12.3,240308,31,-8.50817166718386
"70",5.8,17.2,41.8,96.3,0.77,86.8,98.1,88.2,14.4,84.5,78.7,26180.38,11,10556,9.3,136159,41.3,-11.4214349808313
"71",5.4,16.5,42.3,98.3,0.11,90.2,98.7,87.6,19.7,80.3,78.6,26348.05,10.7,10809,6.9,116053,60.1,-9.34151116808382
"72",6.1,18.5,41.1,81.5,0.3,82.1,80.8,84,14.4,82.2,65.1,22331.56,20.9,23094,8.8,471535,21.5,-7.18490552341904
"73",5.8,17,39.6,62.1,16.12,88.4,98.1,81,12.1,63.4,73.5,18527.38,23.3,13571,15.6,299086,40.5,-8.58838364644668
"74",5.8,21,42.9,79,8.59,88.5,96.4,86,15.3,70.1,72.1,21452.19,17.4,11333,15.6,300507,32.5,-9.39562420356525
"75",5.1,17.2,43.2,93.9,1.04,87.2,96.7,90.1,18,86.5,78.9,27888.16,13.8,67818,6.7,1116140,226.1,-10.1481843547731
"76",4.4,20.2,44.4,96.4,0.69,85.8,98.4,82.5,15.5,74.1,73.3,21014.78,21.5,21978,12.5,462165,168.3,-8.92524162652667
"77",5.1,19.1,43.6,96.4,1.27,86.1,98,92.3,17.2,81.8,79.2,32096.98,10.5,10335,4.7,135952,35.9,-10.619300903595
"78",4.5,19.8,44.9,97.5,0.13,89,97.9,80.5,10.8,77.4,80.7,24755.32,16.2,6832,9.2,205753,38.7,-9.50263678197871
"79",5.1,23.1,47.6,94.3,0.11,83.7,98.7,91.5,19.4,78.4,76.3,28472.12,12.4,4162,7.4,92225,15.2,-9.68330835318593
"80",6.4,16.4,40.2,56.7,12.66,87.2,83.4,77.3,12.5,76,68.5,20080.22,19.6,27794,17.5,495689,67.1,-9.04528882634718
"81",3.8,17.3,42,60.5,18.31,96.1,97.5,73.1,10.3,77.4,79,16715.11,25.3,2746,17.5,71184,21.5,-9.01905879381072
"82",3.7,25.8,51.8,76.5,1.19,90.5,95.7,88.9,19.1,80.8,81.2,27390.78,13.7,4616,12.3,105647,10.9,-9.98005499770501
"83",4.5,22.3,46,83.6,0.45,82,83.6,87.3,20.2,76.5,69.5,25698.58,21.6,5782,10.3,171282,3.2,-9.33037864046
"84",6.1,19.3,42.3,55.3,20.73,89.8,97.9,84.5,12.4,70.2,74.2,22325.11,23.5,5329,14.7,146246,17.7,-9.12447379399949
"85",4.6,15.4,44.1,93.5,1.04,91.4,90.3,94.4,34.4,92.3,84.8,41182.58,6,72454,6.4,720560,287.6,-10.7721327149423
"86",4.7,11.4,27.4,89.2,1.29,67.1,93.8,92,29.4,89.4,59.4,22917.9,23.4,33551,9.5,346636,122.8,-9.46133252611013
"87",5.4,16.9,41.5,94.5,0.73,86,95.8,93.7,34.1,86.6,76.6,33217.77,9.5,39345,5.5,461496,162,-10.6391403095965
"88",6.3,11.7,37.2,83.6,3.01,83.4,84,91.7,40,95.2,84.3,38227.36,5.2,43181,10.7,548113,616.7,-10.5115260902138
"89",5.9,15.7,38.9,82.4,1.49,81.7,88.7,93.8,34.4,91.4,67.4,32098.4,10.4,118204,6.8,4402353,349.4,-9.70985499414174
"90",6.9,19.5,41.7,91,0.16,88,92.8,87.1,16.7,79.3,81,28249.6,12.1,4157,11.3,58569,7.9,-10.3401928963803
"91",7.3,14.9,36.8,71.1,0.39,89.4,61,72.5,13,80.6,67.5,21158.99,16.7,11856,11.8,247179,21.4,-8.98550789523001
"92",5.6,17.3,39.7,96.9,0.44,89.3,89.5,83.7,17.5,79.6,75.1,25301.14,12.7,19122,13.2,228073,120.8,-10.2074427465868
"93",6.5,15.4,36.3,91.4,2.03,79.7,94,84.6,20.8,82.9,69,23714.84,15.7,32391,10.2,522076,74.5,-9.16400129235234
"94",6.8,21.5,42.5,94.6,0.09,85.8,93.7,88.9,17.5,82.2,70.7,25742.62,14.6,2744,13.1,72343,7.5,-10.0382369530877
"95",5.2,18.6,42.4,90.7,0.39,84.1,87.2,93.1,39,93.3,75.4,37863.92,7.4,18518,9,259170,50.4,-10.4004130151294
"96",6.4,18.9,40.2,96.3,0.16,90,97.9,85.7,15.4,78.6,72,20293.44,20.5,15303,12.3,335842,43.6,-10.0398212649921
"97",4.9,16.4,43.6,95.5,0.63,89.5,96,90.7,18.4,87.8,84.4,26966.15,10.8,36846,6.9,454534,137.4,-10.2887697943998
"98",4.9,19.1,44,97.4,0.34,90.4,97.9,92.1,18.8,84.7,77.1,27743.6,11.3,13254,6.3,203625,71.2,-10.0051321727982
"99",6.9,8.9,34.9,53.3,13.34,82.9,65.6,87.5,35.3,94.6,72.1,26866.03,11.3,429027,18.3,2448315,1871.2,-9.72412997091773
"100",6.7,14.8,37.6,78.6,7.28,82.4,91.4,82.5,11.8,80.4,66.4,18892.88,22.9,4615,18.6,85266,42.9,-8.77269882431561
"101",5.3,15.9,44,81.7,5.7,87,97.1,92.6,26.9,91.3,90.1,36946.97,5.9,10785,5.5,92645,87.9,-10.2292839570966
"102",4.7,15.1,41.3,94.3,1.65,87.5,98.1,74.8,12.2,71.8,75.1,19722.88,27.2,4130,6.6,157420,36.5,-9.49243184611472
"103",5.1,19.8,43.5,97.7,0.27,87.5,99,75.3,11.8,68,72,20621.37,24.1,13448,12.7,475365,84.8,-9.14282330171499
"104",5.3,13.9,39.8,87,4.25,79,80.2,80.8,17,86.1,73.3,29595.08,9.6,2938,13.5,24456,4.1,-9.35487352270848
"105",6.3,13.6,38.3,61.3,10.57,89.5,56.4,86,34.1,87.4,61.5,36897.61,10.6,263283,13,3637804,5216.1,-9.16067620895973
"106",5.4,18,44.6,97.9,0.38,89.4,97.5,85.3,12.7,77.8,82.1,24546.91,13.8,8700,12.7,128779,56,-9.94775560258068
